,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0135.a4.txt,1672,1010,717,575,8,0,2
1,2061.a4.txt,1319,1020,731,356,8,1,3
2,1067.a4.txt,1452,997,607,433,5,2,0
3,0216.a4.txt,1448,1302,474,293,8,0,4
4,3042.a4.txt,1301,1352,549,600,6,0,0
5,1032.a4.txt,1160,1288,684,555,7,1,1
6,2062.a4.txt,1231,1221,610,417,7,0,1
7,0238.a4.txt,1481,1311,475,313,5,0,1
8,2067.a4.txt,1292,1103,578,431,9,0,1
9,0102.a4.txt,1569,1116,568,346,10,0,5
10,4028.a4.txt,1455,1300,526,506,4,0,2
11,1018.a4.txt,1503,1210,642,431,8,0,2
12,1065.a4.txt,1328,1191,715,400,9,0,2
13,2048.a4.txt,1686,1036,735,333,8,0,3
14,2019.a4.txt,1538,1280,485,413,6,0,1
15,1008.a4.txt,1632,989,712,554,6,2,3
16,0119.a4.txt,1559,1366,473,366,2,0,4
17,2042.a4.txt,1475,1052,659,275,9,0,0
18,0161.a4.txt,1639,1089,736,285,4,0,4
19,0234.a4.txt,1636,990,753,527,9,0,2
20,2022.a4.txt,1478,1234,501,360,9,0,2
21,0213.a4.txt,1745,1070,509,488,3,1,3
22,1074.a4.txt,1401,1046,755,455,7,0,1
23,4023.a4.txt,1306,1141,619,561,8,1,0
24,0218.a4.txt,1245,1173,622,214,5,1,1
25,2064.a4.txt,1432,1195,538,355,8,0,0
26,0190.a4.txt,1333,1052,479,344,4,1,5
27,2030.a4.txt,1392,1271,484,424,7,0,2
28,0237.a4.txt,1497,1210,732,467,3,0,1
29,2055.a4.txt,1479,979,573,333,9,0,0
30,1121.a4.txt,1594,1093,574,546,7,0,2
31,2014.a4.txt,1362,1066,672,402,7,0,2
32,0105.a4.txt,1412,1150,547,729,6,0,2
33,0139.a4.txt,1404,838,770,306,6,0,2
34,4045.a4.txt,1522,1081,565,565,7,0,0
35,0108.a4.txt,1443,1306,621,393,9,0,2
36,0204.a4.txt,1482,1085,537,373,7,0,1
37,0222.a4.txt,1681,1221,605,428,3,0,3
38,0219.a4.txt,1230,1198,774,626,7,0,1
39,1012.a4.txt,1735,957,778,359,8,0,1
40,0194.a4.txt,1682,1185,578,395,7,0,3
41,1076.a4.txt,1554,1075,586,293,7,1,2
42,0235.a4.txt,1467,1169,659,298,5,0,4
43,2072.a4.txt,1701,1186,651,486,5,0,5
44,0227.a4.txt,1747,1126,411,326,8,0,3
45,0224.a4.txt,1321,1127,670,369,9,0,5
46,1095.a4.txt,1530,1147,686,585,9,0,0
47,0192.a4.txt,1778,1196,444,360,2,0,2
48,0121.a4.txt,1392,1087,603,458,9,0,3
49,2011.a4.txt,1781,924,782,377,8,0,2
50,1014.a4.txt,1396,1283,575,390,8,0,1
51,0112.a4.txt,1433,1186,546,392,1,0,4
52,2000.a4.txt,1788,956,644,447,6,0,2
53,2007.a4.txt,1408,1114,476,446,7,1,3
54,0169.a4.txt,1474,1277,721,349,3,0,1
55,1017.a4.txt,1528,1051,756,545,3,0,1
56,0205.a4.txt,1407,1067,534,469,11,0,3
57,1094.a4.txt,1193,1193,575,596,8,1,1
58,0215.a4.txt,1739,950,588,314,11,0,4
59,5009.a4.txt,1416,1021,698,323,5,0,1
60,2035.a4.txt,1473,1151,380,449,3,0,1
61,1102.a4.txt,1410,1102,804,427,7,1,3
62,1048.a4.txt,1443,1325,535,572,4,0,2
63,0187.a4.txt,1384,1340,532,332,4,0,7
64,4030.a4.txt,1355,1373,452,564,7,0,0
65,2065.a4.txt,1058,1180,571,412,9,0,3
66,1003.a4.txt,1903,1061,624,296,4,0,1
67,2031.a4.txt,1589,984,653,473,10,0,3
68,2038.a4.txt,1749,984,628,419,6,0,2
69,1049.a4.txt,1367,1305,814,501,7,0,1
70,1066.a4.txt,1719,966,753,295,5,0,2
71,2059.a4.txt,1522,1005,615,390,7,0,3
72,2069.a4.txt,1386,1365,579,486,8,0,1
73,0206.a4.txt,1151,1045,637,424,7,0,6
74,1036.a4.txt,1560,1158,631,505,10,0,2
75,2066.a4.txt,1673,1111,733,452,9,0,2
76,1098.a4.txt,1395,1108,564,490,9,0,1
77,2050.a4.txt,1424,1089,702,214,5,0,1
78,2074.a4.txt,1450,1269,601,372,6,0,2
79,1060.a4.txt,1668,934,1018,336,4,0,0
80,0165.a4.txt,1869,1016,408,399,7,0,2
81,3003.a4.txt,1826,1124,719,330,6,0,0
82,0137.a4.txt,1794,997,543,399,5,0,5
83,0156.a4.txt,1256,1280,514,455,3,0,5
84,1057.a4.txt,1328,1200,514,411,7,0,2
85,2044.a4.txt,1662,1099,710,308,7,1,1
86,3065.a4.txt,1394,1279,451,660,5,0,4
