anvisningsenhedsNummer;anvisningsenhedsNavn;dawaID;vejNavn;husNummer;supplerendeBynavn;postNummer;byNavn;kommuneKode;etage;doer;geoBredde;geoLaengde;vejKode;instType3;email;telefonNummer;cvrNummer;pNummer;senestOpdateret;daginstitutionsNummer
G18062;Børnehusene Kokkedal;0a3f50aa-4f96-32b8-e044-0003ba298018;Broengen;4;Brønsholm;2980;Kokkedal;210;;;55.90845289;12.49621317;71;6012;krav@fredensborg.dk;25444758;29188335;1016920769;01-12-2021 10:24:14;E17926
G18063;Blomsterengen;0a3f50aa-4f92-32b8-e044-0003ba298018;Broengen;1;Brønsholm;2980;Kokkedal;210;;;55.90882431;12.4956313;71;6012;mbov@fredensborg.dk;51216876;29188335;1018243853;12-10-2022 13:00:09;E17926
G18168;Ådalen;0a3f50aa-500e-32b8-e044-0003ba298018;Brønsholmdalsvej;42;;2980;Kokkedal;210;;;55.90382667;12.4902326;82;6012;sihj@fredensborg.dk;22249833;29188335;1003282375;08-09-2022 08:30:08;E17926
G18526;Dagplejen Kokkedal;0a3f50aa-4f96-32b8-e044-0003ba298018;Broengen;4;Brønsholm;2980;Kokkedal;210;;;55.90845289;12.49621317;71;6013;mbov@fredensborg.dk;51216876;29188335;1016920769;12-10-2022 13:00:08;E17926
G20271;Fasangården;0a3f50aa-5853-32b8-e044-0003ba298018;Fasanvænget;601;Ullerød;2980;Kokkedal;210;;;55.91245352;12.50364502;184;6012;lajo@fredensborg.dk;41218129;29188335;1003282430;16-02-2023 11:30:08;E17926
G20489;Børneengen;0a3f50aa-4f97-32b8-e044-0003ba298018;Broengen;6;Brønsholm;2980;Kokkedal;210;;;55.9085113;12.49650224;71;6012;tinn@fredensborg.dk;22249834;29188335;1003282302;08-09-2022 08:30:05;E17926
G20621;Græstedgård;0a3f50aa-5912-32b8-e044-0003ba298018;Græstedgårdsvej;1A;;2980;Kokkedal;210;;;55.91957901;12.49380682;220;6012;krpf@fredensborg.dk;52504061;29188335;1003282442;08-09-2022 08:30:05;E17926
G25026;Troldeengen;0a3f50aa-4f96-32b8-e044-0003ba298018;Broengen;4;Brønsholm;2980;Kokkedal;210;;;55.90845289;12.49621317;71;6012;mbov@fredensborg.dk;51216876;29188335;1003282417;16-02-2023 11:30:09;E17926
G18171;Den Danske Børnehave;d3c5d70c-50e1-4fa5-8013-acddf8610c3d;Garvergade;12;;6240;Løgumkloster;550;;;55.05978296;8.95420628;442;6012;tk1@toender.dk;74928215;24193543;1006394448;28-11-2022 11:00:10;E18164
G18185;Træstubben Natur-Eksperimenter;0a3f50b8-66fb-32b8-e044-0003ba298018;Tuen;2;;7190;Billund;530;;;55.71410083;9.11578112;684;6012;BU-Billund@Billund.dk;25557486;29189765;1016771089;09-03-2023 12:30:04;E18176
