anvisningsenhedsNavn,geoBredde,geoLaengde
Den Private Børnehave Højvang,56.23123758,10.29977301
Børnegården Solbjerg,56.03617384,10.10617649
Integreret institution Kareten,56.10759291,10.19080095
Rudolf Steiner / Markblomsten,56.17427823,10.11085818
Selam Fri Børnehave,56.10959517,10.10956296
Rudolf Steiner - Solhjem,56.13669202,10.2071751
Aarhus International School,56.1083627,10.18843698
Børnehuset Blæksprutten,56.11991863,10.17570194
Børnehaven Næshøj,56.1420981,9.9986436
Børnehuset Pilehaven,56.14274544,9.98684934
"Regnbuen, Harlev",56.14524187,9.9937599
Kompasset,56.14303469,9.98607103
Børnehuset 27-29 (1),56.14183873,10.18369592
Naturbørnehaven Giberhytten,56.14447329,10.18303651
Naturbørnehaven Projekt Mariendal,56.14419823,10.18361055
Langenæsstien 6B,56.14447329,10.18303651
Langenæsstien 8B,56.14401796,10.18259037
Langenæsstien 6A,56.14419823,10.18361055
Naturbørnehaven Søndervang,56.11126075,10.14948869
Naturbørnehaven Ajstrup (Aarhus),56.14637661,10.18835438
Naturbhv. Ajstrup,56.0396197,10.23812996
Frederiksbjerg Børnehus,56.14587332,10.19821836
Børnehuset Jægergårdsgade,56.1476432,10.20093872
Børnehaven Guldbryllupsasylet,56.14606428,10.20067926
Langenæsen,56.142192,10.18105218
DII Børnegården Sct. Anna,56.14640292,10.1981909
Børnehuset Jorden Rundt,56.1186626,10.17502523
Elverhøj,56.11062342,10.17520045
Holmetræet,56.11270108,10.18392797
Kløverhulen,56.10984947,10.17390857
Børnehuset Tulshøjvej 5,56.1130109,10.17264379
Flyverhøjen,56.11062308,10.17617946
Holme Børnehus,56.10730091,10.16834667
Børnehuset Eghovedvej,56.04259835,10.19762941
Børnehuset Grønnebakken,56.06095157,10.21918444
Børnehuset Østerskov,56.04246483,10.20534268
"Børnehuset Smilehullet, Beder",56.06128559,10.21610501
Børnehuset Amaliegården,56.05535346,10.20501018
Børnehuset Ajstrupvej,56.0383605,10.20005734
Børnehuset Tværgade,56.03779429,10.19683167
Børnehuset Himmelblå (304),56.05452845,10.20483977
Satellitten Serinedalen,56.05359609,10.21287654
Molevitten,56.04278107,10.20550777
Mårslet Skovbørnehus,56.0685039,10.15471644
Solhuset,56.06760254,10.16553119
Kærgården,56.03987058,10.08654688
Børnehuset Bøgevangen,56.04124621,10.0889993
"Valhalla, Mårslet",56.0632478,10.16559638
Børnehuset Mirabellen,56.07044629,10.16459804
"Spiren, Solbjerg",56.03928847,10.08836535
Græsbakken,56.06794124,10.16582252
Hasselhuset,56.04291516,10.08350938
Fuglbjerggård,56.04535459,10.08741157
Børnehuset Nymarken,56.06180615,10.15653299
Børnehaven Mosegården,56.11683316,10.1966454
Børnehuset Valnødden,56.06805829,10.16293962
Galaksen,56.21181956,10.03837817
DII Evigglad,56.21259307,10.03506845
Tryllefløjten,56.21179793,10.03881485
DII Sommerfuglen,56.20809261,10.04588295
Humlebien,56.21266593,10.03441547
Børnehaven Enggården,56.15012105,10.12428075
Kometen,56.14886969,10.13828276
Børnehuset Klods Hans,56.14837674,10.13814842
Børnehuset Nattergalen,56.14878866,10.13732468
Solskin,56.15063339,10.08985675
Børnesnak,56.1489114,10.13916852
Søstjernen,56.15087167,10.0894303
Børnehuset Safiren,56.16109965,10.09386865
Børnehuset Stranden-Væksthuset,56.15673867,10.13265765
Natur og Miljøbørnehuset Viben,56.15715057,10.1313418
Børnehuset Skoven - Væksthuset,56.15699886,10.1334246
Unimukken,56.15715057,10.1313418
Børnehuset Engen - Væksthuset,56.15701667,10.13272685
Børnehuset Bækken - Væksthuset,56.15667717,10.13330806
Børnehaven Åby,56.14893419,10.16224422
"Solsikken, Åbyhøj",56.14870085,10.15886582
Perlen,56.1525327,10.16369306
"Hobbitten, Åbyhøj",56.14619957,10.16304584
"Børnehuset Tusindfryd, Åbyhøj",56.15593741,10.13771893
Børnehaven Silkeborgen,56.15400577,10.14644605
Børnehaven Hans Broges Vej,56.15589226,10.11556519
Børnehuset Liv,56.2674979,10.3108986
Børnehaven Myrhøjen,56.26702199,10.31086924
Børnehuset Kloden,56.26765322,10.31247139
Børnehaven Bakkehuset,56.26250293,10.29930514
Engskovgård,56.25999025,10.30795489
Stationsvangen,56.26195089,10.30510181
Junibakken,56.26457267,10.30231111
Væksthuset,56.26777986,10.311425119999999
Børnehuset Næringen,56.19173701,10.19885721
Børnehuset ved skoven,56.20056428,10.20634076
Flintebakken,56.20630499,10.21057742
DII Ellevang,56.20221468,10.21718444
Tornebakken,56.20247384,10.21229743
Hasselhaven,56.24065833,10.23760226
DII Børneuniverset,56.23844069,10.22858192
"Hurlumhejhuset, Lystrup",56.23325849,10.22227254
Børnehuset Lyset,56.24154537,10.24651736
Ørnereden,56.24065824,10.22542268
Børnehuset Godthåb,56.2441215,10.23181873
Elsted Børnehus,56.2438199,10.23187763
Børnehaven Lystruplund (1),56.22905538,10.23293219
Blomsterhaven,56.24052203,10.23685562
DII Bakketoppen,56.25292402,10.15025628
Børnehuset Mimershøj,56.21892772,10.15881639
Børnehuset Gimlehøj,56.21892772,10.15881639
Idrætsinst. Spørring Børnehus,56.29857049,10.14593405
Børnehuset Rønnebo,56.22244263,10.16758994
DII Idrætsinst Tumlehøjen,56.25246081,10.1476016
Løgtengården,56.27815375,10.31902001
Børnehaven Kernehuset,56.25318072,10.2650274
Børnehaven Jasminvej,56.19457021,10.23868657
Damhuset,56.18618978,10.22603887
Børnehuset Alsvej,56.19300116,10.2229986
Risskov Børnehus,56.18958726,10.2138217
Under bøgen,56.18765864,10.23481902
Gadekæret,56.19415058,10.21532455
Idrætsbørnehuset Hoppeland,56.18904395,10.21379036
DII Drivhuset,56.18012504,10.18094312
Kløverparken,56.17295893,10.19870669
Børnehuset Malmøgade,56.18021248,10.19661401
Børnehaven Thorshavnsgade (1),56.17638192,10.18383536
